Survived,Pclass,SibSp,Parch,Fare,Sex_female,Sex_male,Embarked_C,Embarked_Q,Embarked_S,"Categorized_age_(0, 10]","Categorized_age_(10, 20]","Categorized_age_(20, 30]","Categorized_age_(30, 40]","Categorized_age_(40, 50]","Categorized_age_(50, 60]","Categorized_age_(60, 70]","Categorized_age_(70, 80]"
1,3,1,0,1.0508319913747257,0,1,1,0,0,0,1,0,0,0,0,0,0
0,3,0,0,0.8893017025063102,0,1,0,1,0,0,0,0,0,0,0,0,0
1,3,0,0,0.853801602916266,0,1,0,0,1,0,0,1,0,0,0,0,0
1,3,1,1,1.3494387791478988,1,0,1,0,0,0,0,0,0,0,0,0,0
0,3,0,0,0.8435442119456351,0,1,0,0,1,0,0,0,0,1,0,0,0
0,3,0,0,0.8973961391554461,0,1,1,0,0,0,0,0,1,0,0,0,0
0,3,0,0,0.8481891169913987,0,1,0,0,1,0,1,0,0,0,0,0,0
0,3,1,0,1.1613680022349748,1,0,0,0,1,0,0,0,0,1,0,0,0
1,2,1,0,1.414973347970818,1,0,0,0,1,0,0,1,0,0,0,0,0
0,2,0,0,1.1139433523068367,0,1,0,0,1,0,0,1,0,0,0,0,0
0,2,0,0,1.1774152845552361,0,1,1,0,0,0,0,1,0,0,0,0,0
1,1,0,2,1.419679892159264,1,0,0,0,1,0,1,0,0,0,0,0,0
0,1,1,0,1.725094521081469,0,1,0,0,1,0,0,0,1,0,0,0,0
0,3,0,0,0.9645754516035014,0,1,0,0,1,0,1,0,0,0,0,0,0
0,1,0,0,1.8987251815894934,0,1,1,0,0,0,0,1,0,0,0,0,0
0,3,0,2,1.183150218236971,1,0,1,0,0,0,0,0,0,0,0,0,0
1,3,0,0,0.8893017025063102,1,0,0,0,1,0,0,1,0,0,0,0,0
1,3,1,0,1.2000292665537702,1,0,0,0,1,0,0,1,0,0,0,0,0
0,3,0,0,0.829303772831025,0,1,0,1,0,0,1,0,0,0,0,0,0
0,2,0,0,1.0606978403536116,0,1,0,0,1,0,1,0,0,0,0,0,0
0,2,1,1,1.5652573434202137,0,1,0,0,1,0,1,0,0,0,0,0,0
1,3,0,0,0.8918606888331484,0,1,0,0,1,0,0,1,0,0,0,0,0
0,3,2,2,1.536242706838319,1,0,0,0,1,1,0,0,0,0,0,0,0
0,2,0,2,1.414973347970818,0,1,0,0,1,0,0,0,1,0,0,0,0
0,2,0,0,1.1139433523068367,0,1,0,0,1,0,0,0,0,1,0,0,0
0,2,0,0,1.0977777345392834,0,1,0,0,1,0,0,0,0,0,1,0,0
1,1,1,0,1.823474229170301,1,0,0,0,1,0,0,1,0,0,0,0,0
0,3,0,0,0.9057958803678685,0,1,0,0,1,0,0,0,0,0,1,0,0
0,3,0,2,1.1613680022349748,0,1,0,0,1,0,0,0,0,1,0,0,0
0,3,0,0,0.8640658790902369,0,1,0,0,1,0,0,0,0,0,0,0,0
0,1,0,1,1.7880212236551114,0,1,1,0,0,0,0,0,0,0,1,0,0
1,3,0,0,0.8883648582082291,1,0,0,1,0,0,1,0,0,0,0,0,0
0,3,0,0,0.9057958803678685,0,1,0,0,1,0,0,1,0,0,0,0,0
0,3,0,0,0.9376432476198632,0,1,0,0,1,0,0,0,0,0,0,0,0
0,3,8,2,1.8422971343280652,0,1,0,0,1,0,0,0,0,0,0,0,0
0,3,0,1,1.2068258760318498,0,1,0,0,1,0,0,0,0,1,0,0,0
1,2,0,0,1.1972805581256194,1,0,0,0,1,0,0,0,1,0,0,0,0
0,3,0,0,0.8907003976988751,0,1,0,0,1,0,0,1,0,0,0,0,0
0,3,0,0,0.9376432476198632,0,1,0,0,1,0,1,0,0,0,0,0,0
0,3,4,1,1.598653742636051,0,1,0,0,1,1,0,0,0,0,0,0,0
1,3,0,2,1.3122831657914784,0,1,0,0,1,1,0,0,0,0,0,0,0
1,1,0,1,1.7403626894942439,1,0,0,0,1,0,0,0,0,0,0,0,0
0,3,1,4,1.4456042032735976,1,0,0,0,1,0,0,0,0,1,0,0,0
0,1,0,0,1.4137187650610785,0,1,0,0,1,0,0,0,0,0,0,0,0
0,3,0,0,1.752016162781856,0,1,0,0,1,0,0,1,0,0,0,0,0
0,1,0,0,1.5250448070368452,0,1,0,0,1,0,0,0,0,0,0,1,0
0,3,4,1,1.4642659340340753,0,1,0,1,0,1,0,0,0,0,0,0,0
1,3,1,1,1.0466239118070755,1,0,0,0,1,1,0,0,0,0,0,0,0
0,3,0,0,0.8989992708897891,0,1,0,0,1,0,0,1,0,0,0,0,0
0,1,0,0,1.4870789565323452,0,1,1,0,0,0,0,0,0,0,1,0,0
0,3,1,1,0.8951019559858993,0,1,0,0,1,0,1,0,0,0,0,0,0
0,3,3,1,1.4059726723039303,0,1,0,0,1,0,0,0,0,0,0,0,0
0,1,0,0,1.4580710082030826,1,0,1,0,0,0,0,0,0,1,0,0,0
0,2,0,0,1.1139433523068367,0,1,0,0,1,0,0,1,0,0,0,0,0
0,3,0,0,-1.0,0,1,0,0,1,0,0,0,1,0,0,0,0
0,3,8,2,1.8422971343280652,1,0,0,0,1,0,0,0,0,0,0,0,0
0,2,0,0,1.177536499929862,0,1,1,0,0,0,0,0,0,0,0,0,0
0,3,4,2,1.4967567257209788,0,1,0,0,1,1,0,0,0,0,0,0,0
1,2,2,1,1.591064607026499,0,1,0,0,1,1,0,0,0,0,0,0,0
1,3,0,2,1.3429159170840854,1,0,0,0,1,1,0,0,0,0,0,0,0
0,1,0,0,1.6989700043360187,0,1,0,0,1,0,0,0,0,0,0,0,0
1,3,1,0,1.1903316981702914,1,0,0,1,0,0,0,0,0,0,0,0,0
1,1,0,0,1.424064525417488,0,1,0,0,1,0,0,0,0,1,0,0,0
0,3,1,1,1.1903316981702914,0,1,0,1,0,0,0,0,1,0,0,0,0
0,3,0,0,0.8973961391554461,0,1,0,0,1,0,0,0,1,0,0,0,0
1,2,0,0,1.1139433523068367,1,0,0,0,1,0,0,0,1,0,0,0,0
0,2,0,0,1.1139433523068367,0,1,0,0,1,0,1,0,0,0,0,0,0
1,3,1,0,0.8951019559858993,1,0,0,0,1,0,1,0,0,0,0,0,0
1,2,1,1,1.414973347970818,0,1,0,0,1,1,0,0,0,0,0,0,0
1,1,0,0,1.442805759510192,1,0,1,0,0,0,0,0,0,1,0,0,0
1,1,0,0,2.165899281236276,1,0,1,0,0,0,0,0,0,0,1,0,0
0,3,0,0,0.8893017025063102,0,1,0,1,0,0,0,0,0,0,0,0,0
0,3,0,1,0.9244963790341119,0,1,0,0,1,0,0,0,0,1,0,0,0
1,3,0,0,0.8893017025063102,1,0,0,1,0,0,0,0,0,0,0,0,0
0,2,0,0,1.1139433523068367,1,0,0,0,1,0,0,1,0,0,0,0,0
0,3,0,0,0.9777236052888477,0,1,0,0,1,0,0,1,0,0,0,0,0
0,3,8,2,1.8422971343280652,0,1,0,0,1,0,0,0,0,0,0,0,0
0,3,0,0,0.8126326448917517,0,1,0,0,1,0,0,0,1,0,0,0,0
0,3,0,0,0.8588378514285855,0,1,1,0,0,0,0,0,0,1,0,0,0
1,3,0,0,0.9057958803678685,0,1,0,0,1,0,1,0,0,0,0,0,0
0,3,0,1,1.0196354710013165,1,0,0,0,1,1,0,0,0,0,0,0,0
0,3,1,0,1.2000292665537702,0,1,0,0,1,0,0,0,1,0,0,0,0
1,3,0,0,1.2738689935949645,0,1,1,0,0,0,0,1,0,0,0,0,0
1,3,0,0,0.8893017025063102,1,0,0,1,0,0,1,0,0,0,0,0,0
1,1,0,0,1.4913616938342726,0,1,1,0,0,0,0,0,1,0,0,0,0
0,3,0,0,0.8481891169913987,0,1,0,0,1,0,0,1,0,0,0,0,0
1,2,0,0,1.3222192947339193,1,0,0,0,1,0,0,0,1,0,0,0,0
0,3,0,0,0.8603380065709937,0,1,0,0,1,0,0,1,0,0,0,0,0
0,2,0,0,1.1139433523068367,0,1,0,0,1,0,0,1,0,0,0,0,0
0,3,1,0,0.8893017025063102,0,1,0,1,0,0,0,0,0,0,0,0,0
1,1,1,0,2.0541340708512235,1,0,1,0,0,0,0,0,1,0,0,0,0
1,3,0,0,0.8989992708897891,1,0,0,0,1,0,0,1,0,0,0,0,0
0,2,1,0,1.4313637641589874,0,1,0,0,1,0,0,0,0,1,0,0,0
1,1,0,0,1.8824772923418707,1,0,1,0,0,0,0,0,1,0,0,0,0
0,2,0,0,1.021189299069938,0,1,0,0,1,0,0,1,0,0,0,0,0
1,3,0,0,0.9057958803678685,0,1,0,0,1,0,1,0,0,0,0,0,0
0,2,0,0,1.1139433523068367,0,1,0,0,1,0,0,1,0,0,0,0,0
0,3,0,0,0.9057958803678685,0,1,0,0,1,0,0,0,0,0,1,0,0
0,3,0,0,0.8973961391554461,0,1,0,0,1,0,0,0,0,0,0,0,0
1,1,1,0,1.954242509439325,0,1,0,0,1,0,0,0,1,0,0,0,0
0,3,0,0,0.9708116108725178,0,1,0,0,1,0,0,1,0,0,0,0,0
1,2,0,0,1.021189299069938,0,1,0,0,1,0,1,0,0,0,0,0,0
0,3,0,0,0.8603380065709937,0,1,0,0,1,0,0,1,0,0,0,0,0
0,2,0,0,1.1139433523068367,0,1,0,0,1,0,1,0,0,0,0,0,0
0,3,3,1,1.4059726723039303,1,0,0,0,1,0,0,0,0,0,0,0,0
1,1,1,0,1.9215564277264083,1,0,0,0,1,0,0,0,1,0,0,0,0
0,3,0,0,0.8907003976988751,0,1,0,0,1,0,0,1,0,0,0,0,0
0,2,0,0,1.130333768495006,0,1,0,0,1,0,0,0,0,0,1,0,0
1,3,4,2,1.4967567257209788,1,0,0,0,1,1,0,0,0,0,0,0,0
0,2,0,0,1.021189299069938,0,1,0,0,1,0,0,1,0,0,0,0,0
0,3,0,0,0.8779469516291882,1,0,0,0,1,0,0,0,0,0,0,0,0
0,2,1,0,1.414973347970818,0,1,0,0,1,0,0,0,0,1,0,0,0
1,2,0,2,1.4191293077419758,1,0,0,0,1,1,0,0,0,0,0,0,0
0,2,0,0,1.021189299069938,0,1,0,0,1,0,1,0,0,0,0,0,0
0,2,0,0,1.0890215007950061,0,1,0,0,1,0,0,0,1,0,0,0,0
0,3,1,0,1.1599940596732181,1,0,1,0,0,0,0,0,0,0,0,0,0
1,3,1,0,1.1903316981702914,1,0,0,1,0,0,0,0,0,0,0,0,0
0,2,0,0,1.021189299069938,0,1,0,0,1,0,0,1,0,0,0,0,0
0,3,0,0,0.8527848686805478,0,1,0,0,1,0,0,1,0,0,0,0,0
0,3,0,0,0.8588378514285855,0,1,1,0,0,0,0,1,0,0,0,0,0
0,1,2,0,1.954242509439325,0,1,0,1,0,0,0,0,0,1,0,0,0
0,3,0,0,0.8907003976988751,1,0,0,0,1,0,0,1,0,0,0,0,0
1,2,0,2,1.1613680022349748,1,0,0,0,1,0,0,1,0,0,0,0,0
1,1,1,1,1.7206074294781684,0,1,0,0,1,0,0,0,1,0,0,0,0
0,2,1,0,1.414973347970818,0,1,0,0,1,0,0,0,0,0,1,0,0
0,3,0,0,0.8603380065709937,0,1,0,0,1,0,0,0,0,0,0,0,0
0,3,1,1,1.0196354710013165,1,0,0,0,1,0,0,1,0,0,0,0,0
0,1,0,0,1.424064525417488,0,1,0,0,1,0,0,0,0,0,0,1,0
0,3,1,0,1.2068258760318498,0,1,0,0,1,0,0,1,0,0,0,0,0
0,3,0,2,1.3056200329144576,1,0,0,0,1,0,0,0,0,1,0,0,0
1,3,0,2,1.183150218236971,1,0,1,0,0,0,0,1,0,0,0,0,0
1,1,0,0,1.8987251815894934,1,0,1,0,0,0,0,0,0,0,0,0,0
1,1,0,0,1.9370161074648142,1,0,0,0,1,0,0,1,0,0,0,0,0
1,1,0,0,2.70954910902387,1,0,1,0,0,0,0,0,1,0,0,0,0
1,2,0,1,1.414973347970818,1,0,0,0,1,0,0,0,0,1,0,0,0
0,3,0,0,0.8893017025063102,0,1,0,1,0,0,0,0,0,0,0,0,0
1,3,4,2,1.4967567257209788,0,1,0,0,1,1,0,0,0,0,0,0,0
0,1,1,1,1.9011857801371503,0,1,0,0,1,0,0,0,0,0,1,0,0
0,1,0,0,-1.0,0,1,0,0,1,0,0,0,1,0,0,0,0
0,3,0,0,0.8893017025063102,1,0,0,1,0,0,0,0,0,0,0,0,0
0,2,0,0,1.021189299069938,0,1,0,0,1,0,0,0,1,0,0,0,0
0,3,4,1,1.598653742636051,0,1,0,0,1,0,1,0,0,0,0,0,0
1,3,1,0,0.8907003976988751,0,1,0,0,1,0,0,1,0,0,0,0,0
1,1,0,1,2.1860022688507756,1,0,0,0,1,0,0,0,0,0,1,0,0
1,1,0,0,2.1323663284011247,1,0,0,0,1,0,0,0,1,0,0,0,0
0,1,0,0,1.4913616938342726,0,1,0,0,1,0,0,0,0,0,0,0,0
1,3,0,0,-1.0,0,1,0,0,1,0,0,1,0,0,0,0,0
1,2,0,1,1.290034611362518,1,0,0,0,1,0,0,0,0,1,0,0,0
0,1,0,1,1.4727564493172123,0,1,1,0,0,0,0,0,1,0,0,0,0
1,3,0,0,0.8893017025063102,1,0,0,1,0,0,0,0,0,0,0,0,0
1,1,1,0,1.8918623600932356,1,0,0,0,1,0,0,0,0,0,0,1,0
0,3,0,0,0.8893017025063102,1,0,0,0,1,0,0,0,0,1,0,0,0
0,2,0,0,-1.0,0,1,0,0,1,0,0,0,0,0,0,0,0
0,3,4,1,1.4642659340340753,0,1,0,1,0,1,0,0,0,0,0,0,0
1,3,1,1,1.3064250275506875,1,0,0,0,1,0,0,0,1,0,0,0,0
0,3,0,0,0.8893017025063102,0,1,0,1,0,0,0,0,0,0,0,1,0
0,3,0,0,0.8951019559858993,0,1,0,0,1,0,0,1,0,0,0,0,0
0,3,0,0,0.9777236052888477,0,1,0,0,1,0,1,0,0,0,0,0,0
1,3,0,0,0.9057958803678685,0,1,0,0,1,0,1,0,0,0,0,0,0
0,1,0,0,1.414973347970818,0,1,0,0,1,0,0,0,0,0,0,0,0
0,3,0,0,0.9376432476198632,0,1,1,0,0,0,0,0,1,0,0,0,0
1,3,0,0,0.9777236052888477,0,1,0,0,1,0,0,1,0,0,0,0,0
0,3,0,0,0.8973961391554461,0,1,0,0,1,0,0,1,0,0,0,0,0
1,2,0,0,1.1139433523068367,0,1,0,0,1,0,0,0,0,1,0,0,0
1,3,0,0,0.8893017025063102,1,0,0,1,0,0,0,1,0,0,0,0,0
1,1,0,0,1.8968016976649216,1,0,0,0,1,0,0,1,0,0,0,0,0
1,1,1,0,1.959419207306397,1,0,1,0,0,0,1,0,0,0,0,0,0
0,2,0,0,1.1097472377132287,0,1,1,0,0,0,0,0,1,0,0,0,0
0,3,0,0,0.9469432706978255,1,0,0,0,1,0,0,1,0,0,0,0,0
0,3,0,0,0.8973961391554461,0,1,0,0,1,0,0,1,0,0,0,0,0
0,1,0,0,1.442805759510192,0,1,1,0,0,0,0,0,0,0,0,0,0
0,3,0,0,0.8590902399212491,0,1,1,0,0,0,0,1,0,0,0,0,0
0,1,1,2,2.1805559407036412,1,0,0,0,1,1,0,0,0,0,0,0,0
1,1,0,0,1.4842998393467859,0,1,0,0,1,0,0,0,0,0,0,0,0
1,1,0,1,2.39361170001974,1,0,1,0,0,0,0,0,0,1,0,0,0
1,3,0,0,0.8893017025063102,1,0,0,1,0,0,0,0,0,0,0,0,0
1,3,2,0,1.3664229572259727,0,1,0,1,0,0,0,0,0,0,0,0,0
0,3,0,0,-1.0,0,1,0,0,1,0,1,0,0,0,0,0,0
1,2,0,0,1.0916669575956846,1,0,0,1,0,0,0,0,0,0,0,0,0
0,3,0,0,0.9057958803678685,0,1,0,0,1,0,0,0,0,0,0,0,0
1,1,1,2,2.1805559407036412,0,1,0,0,1,1,0,0,0,0,0,0,0
1,1,0,0,2.0448661425064016,1,0,1,0,0,0,0,0,0,0,0,0,0
1,1,1,0,2.037027879755775,1,0,1,0,0,0,1,0,0,0,0,0,0
0,2,1,0,1.380211241711606,0,1,1,0,0,0,0,1,0,0,0,0,0
1,1,0,0,1.7553350809127826,1,0,1,0,0,0,0,1,0,0,0,0,0
1,1,0,0,1.9199056024948609,1,0,1,0,0,0,0,1,0,0,0,0,0
1,1,2,2,2.418922451590457,1,0,1,0,0,0,1,0,0,0,0,0,0
0,2,1,1,1.414973347970818,1,0,0,0,1,0,0,1,0,0,0,0,0
0,3,0,0,0.8973961391554461,0,1,0,0,1,0,0,1,0,0,0,0,0
0,2,1,1,1.4191293077419758,0,1,0,0,1,0,0,0,0,1,0,0,0
1,3,0,0,0.8951019559858993,1,0,0,0,1,0,0,1,0,0,0,0,0
1,2,1,0,1.414973347970818,1,0,0,0,1,0,0,1,0,0,0,0,0
0,2,0,0,1.146128035678238,0,1,0,0,1,0,0,0,0,0,1,0,0
1,1,0,2,2.2171329451128217,1,0,0,0,1,0,0,0,1,0,0,0,0
1,1,1,1,2.128722284338427,1,0,1,0,0,0,0,0,1,0,0,0,0
